courseid;id_kategorie;cely_nazev_kurzu;short_code_kurzu;zacatek_kurzu;konec_kurzu;nazev_kategorie;kod_kurzu;kod_ved_urednik;kod_urednik;mesto;misto_konani;popis_kurzu;multi_date_course;cas_kurzu;druh_kurzu;zamekkod;max_students;Pocet_studentu;Pocet_ostatnich;Pocet_uspesnych_dokonceni;Pocet_osvedceni_a_certifikatu;Pocet_osvedceni;Pocet_certifikatu;Kontaktni_osoba;
63;3;Aktuality;aktuality;13.07.2030 09:00;13.07.2030 09:00;ESO;forum;;;;;;;;;NE;;0;0;0;0;0;0; / ;
493;3; Anotace kurzù;anotace;01.02.2050 00:00;01.02.2050 00:00;ESO;;;;;;;;;;NE;;0;0;0;0;0;0; / ;
495;3;Katalog Kurzù;katalog;01.02.2050 00:00;01.02.2050 08:46;ESO;;;;;;;;;;NE;;0;0;0;0;0;0; / ;
670;3;Knihovna souborù;;14.03.2020 09:00;14.03.2020 17:00;ESO;KÓD;AAAKODBBB;AAAKODCCC;;;;;;;NE;;0;0;0;0;0;0; / ;
672;3;Místní poplatky v praxi obcí: Správa místních poplatkù dle daòového øádu – obecná èást;;14.10.2020 09:00;14.11.2020 17:00;ESO;MPOÈ;AK/VE-327/2019;AK/PV-519/2019;;;;;8;akreditovanı kurz;NE;;0;0;0;0;0;0; / ;
736;3;Anketa;;12.05.2020 09:00;12.06.2020 17:00;ESO;;;;;;;;;neakreditovanı kurz;NE;;0;0;0;0;0;0; / ;
973;3;Archivnictví a spisová sluba územních samosprávnıch celkù zkouška;;15.09.2020 09:00;15.09.2020 17:00;ESO;ASUS;AK/VE-104/2019;AK/PV-171/2019;;;;;8;akreditovanı kurz;NE;;0;0;0;0;0;0; / ;
1047;3;Monitoring aktuální legislativy - archiv;monleg20201204;05.12.2020 00:00;0;ESO;;;;;;;;;;NE;;0;0;0;0;0;0; / ;
1621;3;Publikace;;27.01.2021 00:00;27.01.2022 00:00;ESO;;;;;;;;;;NE;;6;0;0;0;0;0; / ;
136;8;VZOR KURZÙ e-learning;E-LEA-XXXX;29.03.2021 09:00;29.03.2021 17:00;Course templates;KÓD;AAAKODBBB;AAAKODCCC;;;;;;;NE;;0;0;0;0;0;0; / ;
268;8;VZOR KURZÙ final akr;sample_course_final;29.03.2021 09:00;29.03.2021 17:00;Course templates;KÓD;AAAKODBBB;AAAKODCCC;;;;;8;akreditovanı kurz;NE;;0;0;0;0;0;0; / ;
270;8;Archivnictví a spisová sluba územních samosprávnıch celkù;ASUS;29.03.2021 09:00;29.03.2021 17:00;Course templates;ASUS;AK/VE-104/2019;AK/PV-171/2019;;;;;8;akreditovanı kurz;NE;;0;0;0;0;0;0; / ;
271;8;Místní poplatky v praxi obcí: Správa místních poplatkù dle daòového øádu – obecná èást;MPOC;29.03.2021 09:00;29.03.2021 17:00;Course templates;MPOÈ;AK/VE-327/2019;AK/PV-519/2019;;;;;8;akreditovanı kurz;NE;;0;0;0;0;0;0; / ;
272;8;Obèanskı zákoník – smluvní agenda pro obce;OZSO;29.03.2021 09:00;29.03.2021 17:00;Course templates;OZSO;AK/VE-264/2019;AK/PV-414/2019;;;;;8;akreditovanı kurz;NE;;0;0;0;0;0;0; / ;
273;8;Rozpoètové hospodaøení obcí;ROHO;29.03.2021 09:00;29.03.2021 17:00;Course templates;ROHO;AK/VE-226/2019;AK/PV-365/2019;;;;;8;akreditovanı kurz;NE;;0;0;0;0;0;0; / ;
274;8;Správní øád od A do Z – Opravné prostøedky;SROP;29.03.2021 09:00;29.03.2021 17:00;Course templates;SROP;AK/VE-105/2019;AK/PV-172/2019;;;;;8;akreditovanı kurz;NE;;0;0;0;0;0;0; / ;
275;8;Správní øád od A do Z – Agenda oprávnìnıch úøedních osob;SRAO;29.03.2021 09:00;29.03.2021 17:00;Course templates;SRAO;AK/VE-95/2019;AK/PV-158/2019;;;;;8;akreditovanı kurz;NE;;0;0;0;0;0;0; / ;
276;8;Správní øád od A do Z – Vady øízení;SRVR;29.03.2021 09:00;29.03.2021 17:00;Course templates;SRVØ;AK/VE-96/2019;AK/PV-159/2019;;;;;8;akreditovanı kurz;NE;;0;0;0;0;0;0; / ;
277;8;Aplikace správního øádu v agendì ochrany ivotního prostøedí;SRZP;29.03.2021 09:00;29.03.2021 17:00;Course templates;SRP;AK/VE-348/2019;AK/PV-557/2019;;;;;6;akreditovanı kurz;NE;;0;0;0;0;0;0; / ;
